,1
SC1,12286
SC2,4027
SA1,14824
SA2,4700
SF1,121
SF2,248
SS,101
EC1,0
EC2,0
EA1,0
EA2,0
EF1,0
EF2,0
ES,0
IC1,267
IC2,292
IA1,633
IA2,73
IF1,3
IF2,6
IS,6
M1,30087650
M2,15258391
M3,111402
Cer,5821
